_id,check_in_id,created_at,restaurant_name
65cae13b9381b65064fa360c,21874,2023-12-02T20:49:19.176146Z,Neeloo
65cae13b9381b65064fa360d,21875,2023-12-02T20:50:08.760777Z,Neeloo
65cae13b9381b65064fa360e,21876,2023-12-02T20:59:56.527208Z,Neeloo
65cae13b9381b65064fa360f,21877,2023-12-02T21:00:53.775144Z,Lighthouse
65cae13b9381b65064fa3610,21878,2023-12-02T21:06:22.750212Z,Upside
65cae13b9381b65064fa3611,21879,2023-12-02T21:15:24.983219Z,GERTIE
65cae13b9381b65064fa3612,21880,2023-12-02T21:30:46.608229Z,Canal Street Market
65cae13b9381b65064fa3613,21881,2023-12-02T21:36:28.207708Z,Anton's
65cae13b9381b65064fa3614,21882,2023-12-02T21:50:01.050831Z,Canal Street Market
65cae13b9381b65064fa3615,21883,2023-12-02T21:50:16.002595Z,Ed's Lobster Bar
65cae13b9381b65064fa3616,21884,2023-12-02T21:52:59.26046Z,Tia Pol
65cae13b9381b65064fa3617,21885,2023-12-02T21:53:07.339472Z,Tia Pol
65cae13b9381b65064fa3618,21886,2023-12-02T21:53:58.463304Z,Lighthouse
65cae13b9381b65064fa3619,21887,2023-12-02T22:03:26.308222Z,Llama San
65cae13b9381b65064fa361a,21888,2023-12-02T22:03:29.677197Z,Llama San
65cae13b9381b65064fa361b,21889,2023-12-02T22:05:56.826473Z,Ed's Lobster Bar
65cae13b9381b65064fa361c,21890,2023-12-02T22:14:12.915042Z,Upside
65cae13b9381b65064fa361d,21891,2023-12-02T22:18:20.154576Z,Upside
65cae13b9381b65064fa361e,21892,2023-12-02T22:22:26.283115Z,La Pecora Bianca
65cae13b9381b65064fa361f,21893,2023-12-02T22:27:29.131619Z,Anton's
65cae13b9381b65064fa3620,21894,2023-12-02T22:27:30.021047Z,Anton's
65cae13b9381b65064fa3621,21895,2023-12-02T22:34:50.129805Z,Canal Street Market
65cae13b9381b65064fa3622,21896,2023-12-02T22:34:53.043431Z,Canal Street Market
65cae13b9381b65064fa3623,21897,2023-12-02T22:35:20.07136Z,Upside
65cae13b9381b65064fa3624,21898,2023-12-02T22:38:32.839905Z,Crown Shy
65cae13b9381b65064fa3625,21899,2023-12-02T22:42:08.427753Z,Upside
65cae13b9381b65064fa3626,21900,2023-12-02T22:42:34.203017Z,Bananas Country Club
65cae13b9381b65064fa3627,21901,2023-12-02T22:42:43.915087Z,Principe
65cae13b9381b65064fa3628,21902,2023-12-02T22:44:18.707808Z,Dhom
